id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,hashtags,user_mentions,place,clean_tweet,compound,neg,neu,pos,sentiment
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @JoeNBC: January 22nd:  “We have it totally under control. It’s one person coming in from China. We have it under control. It’s going to…,January nd “ We totally control It ’ one person coming China We control It ’ going to…,en,0,92,dandouglas33,,JoeNBC,,januari nd total control one person come china control go,0.0,0.0,1.0,0.0,neu
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BuckSexton: Doctor friend who is delivering babies during this crisis told me very interesting data from 2 large nyc area hospitals:

T…",Doctor friend delivering babies crisis told interesting data large nyc area hospitals T…,en,0,19,winniekiiza1,,BuckSexton,"Kampala, Uganda",doctor friend deliv babi crisi told interest data larg nyc area hospit,0.7351,0.0,0.617,0.383,pos
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @KatiePhang: “‘[COVID-19] can attack almost anything in the body with devastating consequences.  Its ferocity is breathtaking and humbli…,“ ‘ COVID-19 attack almost anything body devastating consequences Its ferocity breathtaking humbli…,en,0,20173,annmartincwc,,KatiePhang,,covid19 attack almost anyth bodi devast consequ feroc breathtak humbl,-0.4767,0.256,0.744,0.0,neg
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @ClevelandClinic: Prevention is key. Know the simple steps you can take today to protect yourself from #COVID19 https://t.co/BKDX2NsMX2…,Prevention key Know simple steps take today protect,en,0,0,IDevilNeck,COVID19,ClevelandClinic,North Coast ,prevent key know simpl step take today protect,0.4019,0.0,0.619,0.381,pos
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @SaharaReporters: BREAKING: Jigawa Records First COVID-19 Case | Sahara Reporters https://t.co/XUkSsnCp77,BREAKING Jigawa Records First COVID-19 Case Sahara Reporters,en,0,40,AtaAbubakar,,SaharaReporters,"Kano, Nigeria.",break jigawa record first covid19 case sahara report,0.0,0.0,1.0,0.0,neu
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @JoeConchaTV: Wallace to Pelosi on her also downplaying COVID-19: If the president underplayed the threat in the early days, Speaker Pel…",Wallace Pelosi also downplaying COVID-19 If president underplayed threat early days Speaker Pel…,en,0,408,freegalt,,JoeConchaTV,,wallac pelosi also downplay covid19 presid underplay threat earli day speaker pel,-0.5267,0.236,0.764,0.0,neg
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @OIC_IPHRC: 1/2 #OIC-IPHRC condemns the unrelenting vicious #Islamophobic campaign in #India  maligning Muslims for spread of #COVID-19…,/2 -IPHRC condemns unrelenting vicious campaign maligning Muslims spread …,en,0,227,kashif_afzalkpk,"OIC, Islamophobic, India, COVID",OIC_IPHRC,"Dubai, United Arab Emirates",iphrc condemn unrel viciou campaign malign muslim spread,-0.3818,0.271,0.729,0.0,neg
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Always_a_Yes: Less than 3000 British People were killed on D-Day.
Circa 10 times that number will be dead in the UK from COVID-19 by ne…",Less British People killed D-Day Circa times number dead UK COVID-19 ne…,en,0,2,thegibosuk,,Always_a_Yes,European space agency. ,le british peopl kill day circa time number dead uk covid19 ne,-0.8658,0.466,0.466,0.067,neg
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@ronnieClarke69 @SkySportsNews Tails between their legs and then opened the stadium up to be used as a covid 19 tes… https://t.co/J9zOGb873q,Tails legs opened stadium used covid tes…,en,0,1475,DanPawley,,"ronnieClarke69, SkySportsNews",,tail leg open stadium use covid19 te,0.0,0.0,1.0,0.0,neu
1.25e+18,2020-04-19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @COsweda: The TREATMENT--not the mortality rate--was on track to destroying our medical system.

During any given flu season, about 10 p…",The TREATMENT -- mortality rate -- track destroying medical system During given flu season p…,en,0,425,Capt_Art,,COsweda,,treatment mortal rate track destroy medic system given flu season ,-0.7269,0.433,0.567,0.0,neg
1.25e+18,2020-04-19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @victorialwalton: Officers say they cannot speak to motivations at this point. They also say they haven’t made any links to the COVID-19…,Officers say speak motivations point They also say ’ made links COVID-19…,en,0,89,ReprtrPatHealey,,victorialwalton,"Enfield, N.S.",offic say speak motiv point also say made link covid19,0.0,0.0,1.0,0.0,neu
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @aplusk: Mila and I are launching Quarantine Wine!
100% of the profits will go to Covid-19 relief efforts!
#QuarantineWine #SocialDistan…",Mila I launching Quarantine Wine profits go Covid-19 relief efforts …,en,0,713,_LatinnGirl,QuarantineWine,aplusk,insta: crusin__,mila launch quarantin wine profit go covid19 relief effort,0.7184,0.0,0.538,0.462,pos
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @keithgerein: COVID-19: Alberta doctors slam province for 'shoddy' masks https://t.co/Wl0BMZzJSE #abhealth #covid19ab,COVID-19 Alberta doctors slam province 'shoddy masks,en,0,88,JulieCGD,"abhealth, covid19ab",keithgerein,"Alberta, Canada",covid19 alberta doctor slam provinc shoddi mask,-0.3818,0.302,0.698,0.0,neg
1.25e+18,2020-04-19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@jettaboldt @SkyNews Of course! 😃 I'm still right about the smoking though. Approx. 1% of the people who have been… https://t.co/OHz60pqzet,Of course I 'm still right smoking though Approx people been…,en,0,19,Picto2010,,"jettaboldt, SkyNews",WhereEverILayMyHat,cours still right smoke though approx peopl,0.0,0.0,1.0,0.0,neu
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Aramidee_sl: This is so touching 
Funke Akindele releases statement on the importance of maintaining social distancing in the fight aga…",This touching Funke Akindele releases statement importance maintaining social distancing fight aga…,en,0,7424,Goriolai2,,Aramidee_sl,,touch funk akindel releas statement import maintain social distanc fight aga,-0.3818,0.206,0.794,0.0,neg
1.25e+18,2020-04-19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @JoeNBC: The most economically, scientifically, and technologically advanced country on the planet is ranked 38th in tests per person. D…",The economically scientifically technologically advanced country planet ranked th tests per person D…,en,0,7424,alex_ortega18,,JoeNBC,"Cudahy, CA",econom scientif technolog advanc countri planet rank th test per person,0.0,0.0,1.0,0.0,neu
1.25e+18,2020-04-19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Lrihendry: So let me get this straight

WHO conspires with China to mislead US on COVID-19

Trump threatens to defund WHO for providing…",So let get straight WHO conspires China mislead US COVID-19 Trump threatens defund WHO providing…,en,0,13,jtantgra,,Lrihendry,,let get straight conspir china mislead covid19 trump threaten defund provid,-0.1779,0.193,0.667,0.141,neg
1.25e+18,2020-04-19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",We all know COVID-19 is a hoax set for the NWO those who are asleep are the sheep who follow ANYTHING the media tel… https://t.co/QBhbICevuV,We know COVID-19 hoax set NWO asleep sheep follow ANYTHING media tel…,en,0,3,henry28,,,,know covid19 hoax set nwo asleep sheep follow anyth medium tel,-0.2732,0.174,0.826,0.0,neg
1.25e+18,2020-04-22,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BaloziYatani: National treasury’s response to Covid-19 pandemic cuts across all  sectors;Health, water, etc. So far Ksh 18B has been di…",National treasury ’ response Covid-19 pandemic cuts across sectors Health water etc So far Ksh B di…,en,0,0,habshi21,,BaloziYatani,Nairobi,nation treasuri respons covid19 pandem cut across sector health water etc far ksh di,-0.2732,0.139,0.861,0.0,neg
1.25e+18,2020-04-22,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @tgeducation: The @EducEndowFoundn has produced a set of resources designed to be used by schools and parents/carers to support home lea…,The produced set resources designed used schools parents/carers support home lea…,en,0,0,leemariar,,"tgeducation, EducEndowFoundn","Northern Ireland, United Kingd",produc set resourc design use school parent carer support home lea,0.4019,0.0,0.787,0.213,pos
1.25e+18,2020-04-22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@jadande What casino will open themselves up to a lawsuit if a COVID-19 cluster is traced to them?,What casino open lawsuit COVID-19 cluster traced,en,0,0,mdoherty9188,,jadande,"Tewksbury, MA",casino open lawsuit covid19 cluster trace,-0.2263,0.275,0.725,0.0,neg
1.25e+18,2020-04-22,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @faizan0008: COVID-19: Diabetic man dies of lack of food, medicine at Delhi quarantine centre
Mohamed Musthafa, a resident of Coimbatore…",COVID-19 Diabetic man dies lack food medicine Delhi quarantine centre Mohamed Musthafa resident Coimbatore…,en,0,1,Siddiqu65924320,,faizan0008,,covid19 diabet man dy lack food medicin delhi quarantin centr moham musthafa resid coimbator,-0.3182,0.15,0.85,0.0,neg
1.25e+18,2020-04-22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @sparksandcake: Sharing again for Katie and her sweet family. They need help more than ever ❤️ @Mom2Nemo 

COVID-19 relief for the Coelh…",Sharing Katie sweet family They need help ever ️ COVID-19 relief Coelh…,en,0,6,MidwestMess98,,"sparksandcake, Mom2Nemo",,share kati sweet famili need help ever covid19 relief coelh,0.875,0.0,0.353,0.647,pos
1.25e+18,2020-04-22,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @RepLeeZeldin: Had a great meeting w/ @realDonaldTrump today @WhiteHouse to discuss the ongoing response to COVID-19. Grateful for the p…,Had great meeting w/ today discuss ongoing response COVID-19 Grateful p…,en,0,1,MaRaeBates,,"RepLeeZeldin, realDonaldTrump, WhiteHouse",,great meet today discu ongo respons covid19 grate ,0.6249,0.0,0.631,0.369,pos
1.25e+18,2020-04-22,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @blakesmustache: Let’s be clear about COVID-19 testing. It’s late April. By now, Trump could have as many tests as he wants. He admitted…",Let ’ clear COVID-19 testing It ’ late April By Trump could many tests wants He admitted…,en,0,0,AlaninCharlotte,,blakesmustache,,let clear covid19 test late april trump could mani test want admit,0.5719,0.0,0.612,0.388,pos
1.25e+18,2020-04-22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @maddow: ""When 13News pointed out all the items listed in the PPE kits are used by medical staff fighting COVID-19, the VA then offered…",`` When News pointed items listed PPE kits used medical staff fighting COVID-19 VA offered…,en,0,1411,MagnaManus,,maddow,Buffalo,news point item list ppe kit use medic staff fight covid19 va offer,-0.3818,0.178,0.822,0.0,neg
1.25e+18,2020-04-22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @uofl: UofL has developed a technology believed to block the novel coronavirus from infecting human cells.

UofL researchers hope to fas…",UofL developed technology believed block novel coronavirus infecting human cells UofL researchers hope fas…,en,0,23,kirkk27,,uofl,"Michigan, USA",uofl develop technolog believ block novel coronaviru infect human cell uofl research hope fa,0.3182,0.152,0.576,0.272,pos
1.25e+18,2020-04-22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Amy_Siskind: It's not rocket science, it's simply the math.
By next week we will have lost more Americans to Covid-19 in 6 weeks than w…",It 's rocket science 's simply math By next week lost Americans Covid-19 weeks w…,en,0,0,CrazyCommonCens,,Amy_Siskind,,rocket scienc simpli math next week lost american covid19 week ,-0.3182,0.204,0.796,0.0,neg
1.25e+18,2020-04-22,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ajaydevgn: Dhanyawad @PMOIndia @narendramodi for creating a personal bodyguard for every Indian to fight COVID-19. #SetuMeraBodyguard h…,Dhanyawad creating personal bodyguard every Indian fight COVID-19 h…,en,0,8658,HinduRakshak,SetuMeraBodyguard,"ajaydevgn, PMOIndia, narendramodi",,dhanyawad creat person bodyguard everi indian fight covid19 ,-0.3818,0.271,0.729,0.0,neg
1.25e+18,2020-04-22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @SVRising: No one should be sent home without pay while the billionaire they work for lines his own pocket. Yet while @Tesla CEO @elonmu…,No one sent home without pay billionaire work lines pocket Yet CEO …,en,0,0,2Dwade,,"SVRising, Tesla","Michigan, USA",one sent home without pay billionair work line pocket yet ceo,0.0762,0.0,0.885,0.115,pos
1.25e+18,2020-04-22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @patricksavalle: The #Covid_19 epidemic is Sweden is ending all by itself. Without lock down. As added bonus:

- Swedish population now…",The epidemic Sweden ending Without lock As added bonus Swedish population now…,en,1,0,manofbronze1,Covid_19,patricksavalle,"Bexhill, England",epidem sweden end without lock ad bonu swedish popul,0.0,0.0,1.0,0.0,neu
1.25e+18,2020-04-22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @tracybeanz: THREAD: Many of you have seen the articles posted on @UncoverDC 
1. The Curve is Already Flat, written by @AJKayWriter  htt…",THREAD Many seen articles posted The Curve Already Flat written htt…,en,0,13,Earl07425703,,"tracybeanz, UncoverDC, AJKayWriter",,thread mani seen articl post curv alreadi flat written htt,0.0,0.0,1.0,0.0,neu
1.25e+18,2020-04-22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","For those who doubt or deny the severity, intensity, or reality of COVID-19, I wish you could look into the eyes of… https://t.co/kZA5lhqLXk",For doubt deny severity intensity reality COVID-19 I wish could look eyes of…,en,0,6,ShuttyCatherine,,,,doubt deni sever intens realiti covid19 wish could look eye,0.0516,0.189,0.606,0.205,pos
1.25e+18,2020-04-22,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @thecableng: Ekiti records first COVID-19 death — a new mother | TheCable https://t.co/fbW00hkO8Q

#COVID19 #StayHome https://t.co/JbIY4…",Ekiti records first COVID-19 death — new mother TheCable,en,0,0,Yemmy82Oguns,"COVID19, StayHome",thecableng,Ondo/Akure,ekiti record first covid19 death new mother thecabl,-0.5994,0.358,0.642,0.0,neg
1.25e+18,2020-04-22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Murp1953Tim: @secupp This interview is one for the books. I fear for her citizens.

What’s about to happen in Las Vegas will not stay i…",This interview one books I fear citizens What ’ happen Las Vegas stay i…,en,0,2271,PolticalAtheist,,"Murp1953Tim, secupp",,interview one book fear citizen happen la vega stay,-0.4939,0.286,0.714,0.0,neg
1.25e+18,2020-04-22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @TimeHomeless: As we continue to deliver our services during the pandemic, we are actively seeking opportunities @CharityHourUK for fund…",As continue deliver services pandemic actively seeking opportunities fund…,en,0,0,CharityHourUK,,"TimeHomeless, CharityHourUK","Bradford, Yorkshire",continu deliv servic pandem activ seek opportun fund,0.0,0.0,1.0,0.0,neu
1.25e+18,2020-04-22,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @mikiebarb: On today's Daily: @adamliptak explains a major Supreme Court decision on jury verdicts that may offers clues to how justices…,On today 's Daily elains major Supreme Court decision jury verdicts may offers clues justices…,en,0,906,JoGeo15,,"mikiebarb, adamliptak",,today daili elain major suprem court decis juri verdict may offer clue justic,0.1531,0.0,0.882,0.118,pos
1.25e+18,2020-04-22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @CBSNews: Yosemite National Park is closed to visitors. Now, bears are thriving. https://t.co/B63nzsDeqe https://t.co/5mISWUMdOu",Yosemite National Park closed visitors Now bears thriving,en,0,0,true_sea,,CBSNews,Eastern Seaboard of the USA,yosemit nation park close visitor bear thrive,0.0,0.0,1.0,0.0,neu
1.25e+18,2020-04-22,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","RT @NeetuGarcha: Stewart says he's proud of all Vancouver residents who are following orders and helping to flatten the curve.

As the outb…",Stewart says 's proud Vancouver residents following orders helping flatten curve As outb…,en,1,0,GlobalBC,,NeetuGarcha,"Vancouver, BC, Canada",stewart say proud vancouv resid follow order help flatten curv outb,0.7003,0.0,0.608,0.392,pos
1.25e+18,2020-04-22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @jonstern100: Who controls the British Government response to Covid–19? Great article by @VanessaBeeley https://t.co/mXunbSxKSv via @ukc…,Who controls British Government response Covid–19 Great article via …,en,0,87,my90dayfatloss,,"jonstern100, VanessaBeeley",UK,control british govern respons covid19 great articl via,0.6249,0.0,0.631,0.369,pos
1.25e+18,2020-04-22,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @daniel_abugre: .@kojoagyyeman reports on the process at the Noguchi Memorial Institute on doing COVID-19 tests. | More here: 
https://t…",reports process Noguchi Memorial Institute COVID-19 tests More,en,0,646,Aganakandi,,"daniel_abugre, kojoagyyeman",,report process noguchi memori institut covid19 test,0.0,0.0,1.0,0.0,neu
1.25e+18,2020-04-22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @GrassrootsSpeak: 75 Public Companies Took COVID-19 Loans Meant for Small Businesses

Can we admit that the Federal response was a screw…",Public Companies Took COVID-19 Loans Meant Small Businesses Can admit Federal response screw…,en,0,1,m_shirazi321,,GrassrootsSpeak,"South Holland, The Netherlands",public compani took covid19 loan meant small busi admit feder respons screw,0.1027,0.106,0.758,0.136,pos
1.25e+18,2020-04-22,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ellencarmichael: Houston’s KPRC is out with an exposé on COVID-19 reality there. They report that in Houston metro area, which is home…",Houston ’ KPRC eé COVID-19 reality They report Houston metro area home…,en,0,31,Italian8675309,,ellencarmichael,,houston kprc covid19 realiti report houston metro area home,0.0,0.0,1.0,0.0,neu
1.25e+18,2020-04-22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @ErrataRob: The covid-19 is causing an outbreak of pseudo-science. I thought I'd spend some time talking about what science actually is.…,The covid-19 causing outbreak pseudo-science I thought I 'd spend time talking science actually is.…,en,0,6,PilotJess,,ErrataRob,Davenport,covid19 caus outbreak pseudo scienc thought spend time talk scienc actual,0.0,0.0,1.0,0.0,neu
1.25e+18,2020-04-22,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @maddow: ...a spokeswoman said the VA “decided to sell a small amount of excess equipment that was procured to be used for Ebola treatme…,... spokeswoman said VA “ decided sell small amount excess equipment procured used Ebola treatme…,en,0,12,Jld1n,,maddow,"Colorado, USA",spokeswoman said va decid sell small amount excess equip procur use ebola treatm,0.0,0.0,1.0,0.0,neu
1.25e+18,2020-04-22,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @MaryLouMcDonald: There must be no solo run by govt on 'exit plan' and wind down of public health restrictions. Consultation and agreeme…,There must solo run govt 'exit plan wind public health restrictions Consultation agreeme…,en,0,0,Sean95807790,,MaryLouMcDonald,,must solo run govt exit plan wind public health restrict consult agreem,-0.3818,0.191,0.809,0.0,neg
1.25e+18,2020-04-22,"<a href=""https://twitter.com/GreeceOutsideIn"" rel=""nofollow"">GreeceOutsideInInfo</a>",RT @euronews: The warning comes after Greek authorities announced that 150 people tested positive at a locked-down migrant hotel in the cou…,The warning comes Greek authorities announced people tested positive locked-down migrant hotel cou…,en,0,32,GreeceOutsideIn,,euronews,"Athens, Greece",warn come greek author announc peopl test posit lock migrant hotel cou,-0.1027,0.113,0.887,0.0,neg
1.25e+18,2020-04-22,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DiazCanelB: Severely punish those challenging measures against COVID-19.
#CubaSalvaVidas #SomosCuba #SomosContinuidad 
https://t.co/XyO…",Severely punish challenging measures COVID-19,en,0,29,AlexCasas85,"CubaSalvaVidas, SomosCuba, SomosContinuidad",DiazCanelB,Cuba,sever punish challeng measur covid19,-0.5267,0.459,0.541,0.0,neg
1.25e+18,2020-04-23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DeeOneAyekooto: ""COVID-19 testing was temporarily suspended in Kano bc some staff tested positive and testing kits got finished.""

Heal…",`` COVID-19 testing temporarily suspended Kano bc staff tested positive testing kits got finished '' Heal…,en,0,104,Hapsy_Snr,,DeeOneAyekooto,,covid19 test temporarili suspend kano bc staff test posit test kit got finish heal,-0.3182,0.15,0.85,0.0,neg
1.25e+18,2020-04-23,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @YouthKiAwaaz: #COVID-19, self-quarantine, and social-distancing have all changed how we interact with each other, but also in many ways…",self-quarantine social-distancing changed interact also many ways…,en,0,8,Jahidqureshi61,COVID,YouthKiAwaaz,"Gwalior, India",self quarantin social distanc chang interact also mani way,0.0,0.0,1.0,0.0,neu
1.25e+18,2020-04-23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","45 will go to the depths of hell for less than a $Grand, even if some have to pay with their lives.

Trump has a di… https://t.co/QYmBiiWcLt",go depths hell less Grand even pay lives Trump di…,en,0,104,OppositionTo45,,,"North Carolina, USA",go depth hell le grand even pay life trump di,-0.4588,0.375,0.438,0.188,neg
1.25e+18,2020-04-23,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @narendramodi: Exchanged views on the COVID-19 pandemic with PM @leehsienloong, and thanked him for the support and care being extended…",Exchanged views COVID-19 pandemic PM thanked support care extended…,en,0,10,be9aa855b4c64a4,,"narendramodi, leehsienloong",India,exchang view covid19 pandem pm thank support care extend,0.8442,0.0,0.331,0.669,pos
1.25e+18,2020-04-23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The good news: tons of people contacted 13News to help a veteran who’s being evicted by his landlord.

The bad news… https://t.co/NNxG0oCYUL",The good news tons people contacted News help veteran ’ evicted landlord The bad news…,en,0,4,BobSegallWTHR,,,"Indianapolis, Indiana",good news ton peopl contact news help veteran evict landlord bad news,0.2732,0.193,0.497,0.309,pos
1.25e+18,2020-04-23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @elamin88: A good, straight-forward read. https://t.co/vOyXBpXLv6",A good straight-forward read,en,0,57,CodieneC,,elamin88,"Division No. 11, Saskatchewan",good straight forward read,0.5859,0.0,0.294,0.706,pos
